cod_INE_ccaa,cod_MIR_ccaa,ccaa,cod_INE_prov,prov
01,01,Andalucía,04,Almería
01,01,Andalucía,11,Cádiz
01,01,Andalucía,14,Córdoba
01,01,Andalucía,18,Granada
01,01,Andalucía,21,Huelva
01,01,Andalucía,23,Jaén
01,01,Andalucía,29,Málaga
01,01,Andalucía,41,Sevilla
02,02,Aragón,22,Huesca
02,02,Aragón,44,Teruel
02,02,Aragón,50,Zaragoza
03,03,Principado de Asturias,33,Asturias
04,04,Islas Baleares (Illes Balears),07,Islas Baleares (Illes Balears)
05,05,Canarias,35,Las Palmas
05,05,Canarias,38,Santa Cruz de Tenerife
06,06,Cantabria,39,Cantabria
07,08,Castilla y León,05,Ávila
07,08,Castilla y León,09,Burgos
07,08,Castilla y León,24,León
07,08,Castilla y León,34,Palencia
07,08,Castilla y León,37,Salamanca
07,08,Castilla y León,40,Segovia
07,08,Castilla y León,42,Soria
07,08,Castilla y León,47,Valladolid
07,08,Castilla y León,49,Zamora
08,07,Castilla-La Mancha,02,Albacete
08,07,Castilla-La Mancha,13,Ciudad Real
08,07,Castilla-La Mancha,16,Cuenca
08,07,Castilla-La Mancha,19,Guadalajara
08,07,Castilla-La Mancha,45,Toledo
09,09,Cataluña (Catalunya),08,Barcelona
09,09,Cataluña (Catalunya),17,Girona
09,09,Cataluña (Catalunya),25,Lleida
09,09,Cataluña (Catalunya),43,Tarragona
10,17,Comunidad Valenciana (Comunitat Valenciana),03,Alicante (Alacant)
10,17,Comunidad Valenciana (Comunitat Valenciana),12,Castellón (Castelló)
10,17,Comunidad Valenciana (Comunitat Valenciana),46,Valencia (València)
11,10,Extremadura,06,Badajoz
11,10,Extremadura,10,Cáceres
12,11,Galicia (Galiza),15,La Coruña (A Coruña)
12,11,Galicia (Galiza),27,Lugo
12,11,Galicia (Galiza),32,Orense (Ourense)
12,11,Galicia (Galiza),36,Pontevedra
13,12,Comunidad de Madrid,28,Madrid
14,15,Región de Murcia,30,Murcia
15,13,Comunidad Foral de Navarra ,31,Navarra (Nafarroa)
16,14,País Vasco (Euskadi),01,Álava (Araba)
16,14,País Vasco (Euskadi),48,Vizcaya (Bizkaia)
16,14,País Vasco (Euskadi),20,Guipúzcoa (Gipuzkoa)
17,16,La Rioja,26,La Rioja
18,18,Ceuta,51,Ceuta
19,19,Melilla,52,Melilla
