cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
02,congress,2019-11-10,000002,AHORA CANARIAS,AHORA CANARIAS: ALTERNATIVA NACIONALISTA CANARIA (ANC) Y UNIDAD DEL PUEBLO,000002,000002,000002
02,congress,2019-11-10,000003,ANDECHA,ANDECHA ASTUR,000003,000003,000003
02,congress,2019-11-10,000005,AUNACV,AUNA COMUNITAT VALENCIANA,000005,000005,000005
02,congress,2019-11-10,000006,AVANT ADELANTE LOS VERDES,AVANT ADELANTE LOS VERDES,000006,000006,000006
02,congress,2019-11-10,000007,AVANT ADELANTE LOS VERDES,LOS VERDES ECOPACIFISTAS ADELANTE,000007,000006,000006
02,congress,2019-11-10,000008,AVANT LOS VERDES,AVANT ADELANTE LOS VERDES,000008,000006,000006
02,congress,2019-11-10,000009,AXSÍ,ANDALUCÍA POR SÍ,000009,000009,000009
02,congress,2019-11-10,000010,BNG,BLOQUE NACIONALISTA GALEGO,000010,000010,000010
02,congress,2019-11-10,000011,C 21,CONVERXENCIA 21,000011,000011,000011
02,congress,2019-11-10,000012,CANDA,CONVERGENCIA ANDALUZA,000012,000012,000012
02,congress,2019-11-10,000013,CCA-PNC-NC,COALICIÓN CANARIA-NUEVA CANARIAS,000013,000013,000013
02,congress,2019-11-10,000014,CENTRADOS,CENTRADOS,000014,000014,000014
02,congress,2019-11-10,000015,CHA,CHUNTA ARAGONESISTA,000015,000015,000015
02,congress,2019-11-10,000016,CONTIGO,CONTIGO SOMOS DEMOCRACIA,000016,000016,000016
02,congress,2019-11-10,000017,CPM,COALICIÓN POR MELILLA,000017,000017,000017
02,congress,2019-11-10,000018,CS,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,000018,000018,000018
02,congress,2019-11-10,000019,CS,CIUTADANS-PARTIDO DE LA CIUDADANÍA,000019,000019,000018
02,congress,2019-11-10,000020,CUP-PR,CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA,000020,000020,000020
02,congress,2019-11-10,000021,DPL,DEMOCRACIA PLURAL,000021,000021,000021
02,congress,2019-11-10,000022,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,000022,000022,000022
02,congress,2019-11-10,000023,EB,ESCAÑOS EN BLANCO,000023,000023,000023
02,congress,2019-11-10,000024,EB,ESCAÑOS EN BLANCO-AULKI ZURIAK,000024,000024,000023
02,congress,2019-11-10,000025,EB,ESCANOS EN BRANCO,000025,000025,000023
02,congress,2019-11-10,000028,ECP-GUANYEM,EN COMÚ PODEM-GUANYEM EL CANVI,000028,000028,000028
02,congress,2019-11-10,000029,EH BILDU,EUSKAL HERRIA BILDU,000029,000029,000029
02,congress,2019-11-10,000030,ELAK/PCTE,EUSKADIKO LANGILEEN ALDERDI KOMUNISTA/PARTIDO COMUNISTA DE LOS TRABAJADORES DE EUSKADI,000030,000066,000064
02,congress,2019-11-10,000031,ERC-SOBIRANISTES,ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES,000031,000031,000031
02,congress,2019-11-10,000032,ERPV,ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ,000032,000032,000032
02,congress,2019-11-10,000034,EXTREMADURA UNIDA,EXTREMADURA UNIDA,000034,000034,000034
02,congress,2019-11-10,000035,FE DE LAS J,FALANGE ESPAÑOLA DE LAS JONS,000035,000035,000035
02,congress,2019-11-10,000036,FIA,FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN,000036,000036,000036
02,congress,2019-11-10,000037,GBAI,GEROA BAI,000037,000037,000037
