cod_elec,type_elec,date_elec,id_candidacies,abbrev_candidacies,name_candidacies,cod_candidacies_prov,cod_candidacies_ccaa,cod_candidacies_nat
03,senate,1996-03-03,000002,ADEC,ACCION DEMOCRATICA CIUDADANA,000002,000002,000002
03,senate,1996-03-03,000003,AE,ACCION ESPAÑOLA,000003,000003,000003
03,senate,1996-03-03,000004,AFIT,AGRUPACIONES FAMILIARES INDEPENDIENTES TINERFEÑAS,000004,000004,000004
03,senate,1996-03-03,000005,ALAS,AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL,000005,000005,000005
03,senate,1996-03-03,000006,AR,ACCION REPUBLICANA,000006,000006,000006
03,senate,1996-03-03,000007,AUN,ALIANZA POR LA UNIDAD NACIONAL,000007,000007,000007
03,senate,1996-03-03,000008,AY,ACCION YUNTAR,000008,000008,000008
03,senate,1996-03-03,000009,BNG,BLOQUE NACIONALISTA GALEGO,000009,000009,000009
03,senate,1996-03-03,000010,CC,COALICION CANARIA,000010,000010,000010
03,senate,1996-03-03,000011,CCV,CENTRISTAS DE LA COMUNIDAD VALENCIANA,000011,000011,000011
03,senate,1996-03-03,000012,CDN,CONVERGENCIA DEMOCRATAS DE NAVARRA,000012,000012,000012
03,senate,1996-03-03,000013,CEX,COALICION EXTREMEÑA,000013,000013,000013
03,senate,1996-03-03,000014,CHA,CHUNTA ARAGONESISTA,000014,000014,000014
03,senate,1996-03-03,000015,CIU,CONVERGENCIA I UNIO,000015,000015,000015
03,senate,1996-03-03,000016,CIV,CANDIDATURA INDEPENDIENTE DE VALLADOLID,000016,000016,000016
03,senate,1996-03-03,000017,CN,CULTURA NATURAL,000017,000017,000017
03,senate,1996-03-03,000018,CR,COALICIO REPUBLICANA,000018,000018,000019
03,senate,1996-03-03,000019,CR,COALICION REPUBLICANA,000019,000019,000019
03,senate,1996-03-03,000020,DSA,DINAMICA SOCIAL ARAGONESA,000020,000020,000020
