date_elec,type_elec,census_counting,valid_ballots,invalid_ballots,total_ballots,porc_valid,porc_invalid,blank_ballots,party_ballots,turnout
1986-06-22,congress,29181838,20211965,322205,20534170,98.431,1.569,120590,20091375,70.366
1989-10-29,congress,29625646,20502265,152546,20654811,99.261,0.739,135504,20366761,69.719
1993-06-06,congress,30969453,23570015,127016,23697031,99.464,0.536,188569,23381446,76.517
1996-03-03,congress,32539167,25045166,126941,25172107,99.496,0.504,243214,24801952,77.359
2000-03-12,congress,33976255,23181274,158200,23339474,99.322,0.678,366823,22814451,68.693
2004-03-14,congress,34590651,25887264,264041,26151305,98.99,1.01,407548,25479716,75.602
2008-03-09,congress,35079330,25734863,165576,25900439,99.361,0.639,286182,25448681,73.834
2011-11-20,congress,35779693,24348886,317555,24666441,98.713,1.287,333461,24015425,68.94
2015-12-20,congress,36510490,25168022,227225,25395247,99.105,0.895,188133,24979889,69.556
2016-06-26,congress,36519072,24053755,225504,24279259,99.071,0.929,179081,23874674,66.484
2019-04-28,congress,36900632,26201371,276769,26478140,98.955,1.045,199836,26001535,71.755
2019-11-10,congress,37002468,24258228,249487,24507715,98.982,1.018,217227,24041001,66.233
1986-06-22,senate,28924669,19481295,692061,20173356,96.569,3.431,337179,19144116,69.744
1989-10-29,senate,29460829,19836317,718549,20554866,96.504,3.496,324847,19511470,69.77
1993-06-06,senate,30587722,23465476,539443,24004919,97.753,2.247,375213,23090263,78.479
1996-03-03,senate,32004992,24332437,647772,24980209,97.407,2.593,480220,23852217,78.051
2000-03-12,senate,33041521,22585561,573289,23158850,97.525,2.475,640067,21945494,70.09
2004-03-14,senate,33476715,25092708,753472,25846180,97.085,2.915,676860,24415848,77.206
2008-03-09,senate,35161927,25561046,598181,26159227,97.713,2.287,524895,25036151,74.396
2011-11-20,senate,35900432,23581150,904761,24485911,96.305,3.695,1264984,22316166,68.205
2015-12-20,senate,36665001,NA,801764,NA,NA,NA,979386,NA,NA
2016-06-26,senate,36683646,23396206,606464,24002670,97.473,2.527,565587,22830619,65.432
2019-04-28,senate,37075552,25640934,680189,26321123,97.416,2.584,439576,25201358,70.993
2019-11-10,senate,37178874,23829795,561643,24391438,97.697,2.303,451484,23378311,65.606
